Episode,RollingWin,OverallWin,Epsilon,Speed,Opponent
1000,0.037,0.037,1.0,17.32528324795329,maxbp
2000,0.047,0.042,1.0,16.937813265376352,maxbp
3000,0.038,0.04066666666666666,1.0,16.853456701159857,maxbp
4000,0.039,0.04025,1.0,16.7986210212874,maxbp
5000,0.035,0.0392,1.0,16.841808336584464,maxbp
6000,0.052,0.04133333333333333,0.981,17.280486530495097,maxbp
7000,0.037,0.04071428571428572,0.981,17.29903038785867,maxbp
8000,0.048,0.041625,0.981,17.24732327805755,maxbp
9000,0.049,0.042444444444444444,0.981,17.1306904614125,maxbp
10000,0.036,0.0418,0.981,17.172881132123422,maxbp
11000,0.037,0.04127272727272727,0.962,17.303033882346774,maxbp
12000,0.037,0.040916666666666664,0.962,17.314440101922315,maxbp
13000,0.039,0.040769230769230766,0.962,17.382670546243943,maxbp
14000,0.042,0.040857142857142856,0.962,17.15943686212747,maxbp
15000,0.051,0.04153333333333333,0.962,17.069958190245305,maxbp
16000,0.045,0.04175,0.9430000000000001,17.718452067013477,maxbp
17000,0.047,0.04205882352941177,0.9430000000000001,17.470837094473477,maxbp
18000,0.049,0.042444444444444444,0.9430000000000001,17.54034862505664,maxbp
19000,0.047,0.04268421052631579,0.9430000000000001,17.24848264783708,maxbp
20000,0.048,0.04295,0.9430000000000001,17.248866352106116,maxbp
21000,0.049,0.043238095238095235,0.924,17.399668540841034,maxbp
22000,0.055,0.043772727272727276,0.924,17.335319539772605,maxbp
23000,0.049,0.044,0.924,17.437900137853642,maxbp
24000,0.046,0.044083333333333335,0.924,17.253992414920898,maxbp
25000,0.045,0.04412,0.924,17.198878510354472,maxbp
26000,0.042,0.04403846153846154,0.905,17.25059233331566,maxbp
27000,0.053,0.04437037037037037,0.905,17.09129608250268,maxbp
28000,0.045,0.044392857142857144,0.905,16.932489912616923,maxbp
29000,0.047,0.04448275862068966,0.905,16.97375189914864,maxbp
30000,0.038,0.04426666666666667,0.905,16.96808381199307,maxbp
31000,0.042,0.04419354838709678,0.886,17.102808876890442,maxbp
32000,0.045,0.04421875,0.886,17.090441685242176,maxbp
33000,0.036,0.04396969696969697,0.886,17.247821664254403,maxbp
34000,0.051,0.044176470588235296,0.886,17.160273651709513,maxbp
35000,0.048,0.04428571428571428,0.886,17.0238171591747,maxbp
36000,0.042,0.044194444444444446,0.867,16.778127589228177,maxbp
37000,0.055,0.04448648648648649,0.867,16.966021213383698,maxbp
38000,0.049,0.04460526315789474,0.867,17.11740355813194,maxbp
39000,0.061,0.04502564102564102,0.867,17.03725405830174,maxbp
40000,0.057,0.045325,0.867,16.938355221103027,maxbp
41000,0.051,0.04546341463414634,0.848,17.301644485027808,maxbp
42000,0.07,0.046047619047619046,0.848,17.277428801391558,maxbp
43000,0.074,0.04669767441860465,0.848,17.133623490591663,maxbp
44000,0.068,0.04718181818181818,0.848,17.12528346473074,maxbp
45000,0.08,0.04791111111111111,0.848,17.085314450364557,maxbp
46000,0.05,0.04795652173913043,0.829,17.300564512307293,maxbp
47000,0.056,0.04812765957446809,0.829,16.866084512457718,maxbp
48000,0.061,0.04839583333333333,0.829,16.80908905849093,maxbp
49000,0.061,0.0486530612244898,0.829,16.92480678040129,maxbp
50000,0.047,0.04862,0.829,16.94371917668933,maxbp
51000,0.055,0.04874509803921569,0.81,16.984397179743194,maxbp
52000,0.06,0.04896153846153846,0.81,17.080912645450237,maxbp
53000,0.065,0.04926415094339623,0.81,16.9750025737214,maxbp
54000,0.061,0.04948148148148148,0.81,16.837584076428147,maxbp
55000,0.048,0.04945454545454545,0.81,16.857480519962543,maxbp
56000,0.048,0.049428571428571426,0.791,16.963684415395118,maxbp
57000,0.048,0.049403508771929824,0.791,16.841578551304277,maxbp
58000,0.04,0.04924137931034483,0.791,16.823231351010786,maxbp
59000,0.052,0.04928813559322034,0.791,16.852559682315068,maxbp
60000,0.054,0.04936666666666667,0.791,16.80962620996901,maxbp
61000,0.036,0.04914754098360656,0.772,16.683888861658986,maxbp
62000,0.042,0.04903225806451613,0.772,16.467836210286926,maxbp
63000,0.042,0.04892063492063492,0.772,16.53350953432591,maxbp
64000,0.055,0.049015625,0.772,16.65601104045913,maxbp
65000,0.042,0.048907692307692305,0.772,16.65499851639497,maxbp
66000,0.07,0.04922727272727273,0.753,16.985282586391296,maxbp
67000,0.05,0.049238805970149256,0.753,16.630058508088595,maxbp
68000,0.043,0.04914705882352941,0.753,16.45991540164362,maxbp
69000,0.056,0.0492463768115942,0.753,16.48516901538226,maxbp
70000,0.053,0.0493,0.753,16.458705007643907,maxbp
71000,0.083,0.04976056338028169,0.734,16.646417639015155,maxbp
72000,0.071,0.050055555555555555,0.734,16.522319794908505,maxbp
73000,0.071,0.05034246575342466,0.734,16.459421871680753,maxbp
74000,0.079,0.05072972972972973,0.734,16.46654427788996,maxbp
75000,0.063,0.05089333333333333,0.734,16.427312495969794,maxbp
76000,0.098,0.051513157894736844,0.7150000000000001,17.035586841106774,maxbp
77000,0.058,0.0515974025974026,0.7150000000000001,16.871202737314736,maxbp
78000,0.081,0.051974358974358974,0.7150000000000001,16.776636781022923,maxbp
79000,0.074,0.05225316455696202,0.7150000000000001,16.515096204679825,maxbp
80000,0.077,0.0525625,0.7150000000000001,16.131357360411393,maxbp
81000,0.093,0.05306172839506173,0.696,16.30176580607005,maxbp
82000,0.093,0.05354878048780488,0.696,15.798271255768743,maxbp
83000,0.103,0.05414457831325301,0.696,15.561823457809387,maxbp
84000,0.093,0.054607142857142854,0.696,15.823889673711456,maxbp
85000,0.075,0.05484705882352941,0.696,15.981429842376722,maxbp
86000,0.094,0.05530232558139535,0.677,16.660178909567446,maxbp
87000,0.105,0.055873563218390807,0.677,16.746703071589284,maxbp
88000,0.096,0.05632954545454545,0.677,16.679074037768935,maxbp
89000,0.08,0.05659550561797753,0.677,16.62573666873669,maxbp
90000,0.087,0.056933333333333336,0.677,16.598816186206648,maxbp
91000,0.102,0.057428571428571426,0.658,16.94737393876834,maxbp
92000,0.093,0.057815217391304345,0.658,16.937974211614588,maxbp
93000,0.097,0.05823655913978495,0.658,16.886228832745044,maxbp
94000,0.103,0.05871276595744681,0.658,16.834526468672887,maxbp
95000,0.107,0.059221052631578945,0.658,16.768387671940797,maxbp
96000,0.104,0.0596875,0.639,16.870481148414704,maxbp
97000,0.114,0.060247422680412374,0.639,16.543306125044687,maxbp
98000,0.113,0.06078571428571428,0.639,16.600775498717837,maxbp
99000,0.093,0.06111111111111111,0.639,16.658674256659573,maxbp
100000,0.117,0.06167,0.639,16.456258750782723,maxbp
101000,0.096,0.06200990099009901,0.62,16.477167634194043,maxbp
102000,0.102,0.062401960784313724,0.62,16.480378638371498,maxbp
103000,0.112,0.06288349514563107,0.62,16.50851372362816,maxbp
104000,0.113,0.06336538461538462,0.62,16.600659109022917,maxbp
105000,0.09,0.06361904761904762,0.62,16.52821110823838,maxbp
106000,0.09,0.06386792452830188,0.601,16.846495934195687,maxbp
107000,0.091,0.0641214953271028,0.601,16.674912775486174,maxbp
108000,0.088,0.06434259259259259,0.601,16.647556836529823,maxbp
109000,0.11,0.06476146788990826,0.601,16.718291612171488,maxbp
110000,0.1,0.06508181818181819,0.601,16.6153012320104,maxbp
111000,0.11,0.06548648648648649,0.5820000000000001,16.34536046175531,maxbp
112000,0.119,0.06596428571428571,0.5820000000000001,16.29816235373513,maxbp
113000,0.121,0.06645132743362832,0.5820000000000001,16.32301053764656,maxbp
114000,0.112,0.06685087719298245,0.5820000000000001,16.442134731948233,maxbp
115000,0.112,0.06724347826086957,0.5820000000000001,16.388545094107283,maxbp
116000,0.122,0.06771551724137931,0.563,16.7453494660034,maxbp
117000,0.113,0.0681025641025641,0.563,16.768364718073375,maxbp
118000,0.119,0.06853389830508475,0.563,16.564562509711244,maxbp
119000,0.13,0.06905042016806723,0.563,16.48867194123813,maxbp
120000,0.103,0.06933333333333333,0.563,16.40434462976215,maxbp
121000,0.118,0.06973553719008264,0.544,16.695060541996227,maxbp
122000,0.126,0.0701967213114754,0.544,16.5812236482686,maxbp
123000,0.116,0.07056910569105691,0.544,16.573391918227042,maxbp
124000,0.143,0.07115322580645161,0.544,16.574004533643652,maxbp
125000,0.109,0.071456,0.544,16.58995274103939,maxbp
126000,0.127,0.0718968253968254,0.525,16.952711692031148,maxbp
127000,0.112,0.07221259842519685,0.525,16.847722640998327,maxbp
128000,0.128,0.0726484375,0.525,16.694170204808266,maxbp
129000,0.14,0.07317054263565892,0.525,16.659782906251472,maxbp
130000,0.13,0.0736076923076923,0.525,16.583007044869653,maxbp
131000,0.142,0.07412977099236641,0.506,16.581014120074236,maxbp
132000,0.132,0.07456818181818183,0.506,16.5343287933511,maxbp
133000,0.139,0.07505263157894737,0.506,16.44285346865707,maxbp
134000,0.143,0.07555970149253731,0.506,16.49133673177691,maxbp
135000,0.131,0.07597037037037037,0.506,16.48836004776246,maxbp
136000,0.127,0.07634558823529412,0.487,16.720931338602504,maxbp
137000,0.144,0.07683941605839416,0.487,16.81771851512522,maxbp
138000,0.133,0.0772463768115942,0.487,16.654938528042386,maxbp
139000,0.122,0.077568345323741,0.487,16.621451046755073,maxbp
140000,0.15,0.07808571428571429,0.487,16.538594433946656,maxbp
141000,0.135,0.07848936170212766,0.46799999999999997,17.529418785995603,maxbp
142000,0.149,0.07898591549295775,0.46799999999999997,17.47661299488085,maxbp
143000,0.148,0.07946853146853147,0.46799999999999997,17.105021536158446,maxbp
144000,0.15,0.07995833333333334,0.46799999999999997,16.983756154934156,maxbp
145000,0.151,0.08044827586206897,0.46799999999999997,16.88815659747813,maxbp
146000,0.131,0.08079452054794521,0.44900000000000007,16.898093946536267,maxbp
147000,0.132,0.08114285714285714,0.44900000000000007,16.88131941671525,maxbp
148000,0.146,0.08158108108108109,0.44900000000000007,16.66170455662724,maxbp
149000,0.138,0.08195973154362417,0.44900000000000007,16.590386071488858,maxbp
150000,0.122,0.08222666666666667,0.44900000000000007,16.49444336502067,maxbp
151000,0.157,0.08272185430463576,0.43000000000000005,16.637983101524796,maxbp
152000,0.146,0.08313815789473684,0.43000000000000005,16.865142555634943,maxbp
153000,0.155,0.0836078431372549,0.43000000000000005,16.833035670482126,maxbp
154000,0.163,0.08412337662337663,0.43000000000000005,16.803810550768173,maxbp
155000,0.146,0.08452258064516129,0.43000000000000005,16.643163466768016,maxbp
156000,0.161,0.08501282051282051,0.41100000000000003,16.576090011841323,maxbp
157000,0.16,0.08549044585987262,0.41100000000000003,16.53847967208362,maxbp
158000,0.177,0.08606962025316456,0.41100000000000003,16.439927756575475,maxbp
159000,0.162,0.08654716981132075,0.41100000000000003,16.485456198375672,maxbp
160000,0.161,0.0870125,0.41100000000000003,16.481513855314855,maxbp
161000,0.167,0.08750931677018634,0.392,16.763281890720542,maxbp
162000,0.137,0.08781481481481482,0.392,16.4994193679577,maxbp
163000,0.146,0.0881717791411043,0.392,16.423041611518475,maxbp
164000,0.162,0.08862195121951219,0.392,16.236754486657272,maxbp
165000,0.175,0.08914545454545454,0.392,16.04500735224281,maxbp
166000,0.175,0.08966265060240963,0.373,15.812479128163849,maxbp
167000,0.165,0.09011377245508982,0.373,15.923364374721192,maxbp
168000,0.158,0.09051785714285714,0.373,15.898686508123598,maxbp
169000,0.172,0.091,0.373,15.962871878937646,maxbp
