Battles,RollingWin,OverallWin,Epsilon,Speed,TableSize,Opponent
100,86.00%,86.00%,0.5000,23.966703667417004,4264,random
200,80.00%,80.00%,0.5000,25.675089922106785,8439,random
300,80.67%,80.67%,0.5000,25.45819198674182,12845,random
400,80.75%,80.75%,0.5000,26.007553394128042,16927,random
500,82.20%,82.20%,0.5000,26.231994782600495,20959,random
600,82.83%,82.83%,0.5000,26.127732677724694,25029,random
700,82.57%,82.57%,0.5000,26.04849642851918,28991,random
800,82.00%,82.00%,0.5000,26.40459830387461,32986,random
900,82.11%,82.11%,0.5000,26.09646085091815,36989,random
1000,82.10%,82.10%,0.5000,26.49807798933562,40732,random
1100,82.45%,82.45%,0.5000,26.23347829709156,44566,random
1200,83.00%,83.00%,0.5000,26.4723145210665,48360,random
1300,83.00%,83.00%,0.5000,26.202468428859426,52161,random
1400,82.79%,82.79%,0.5000,26.36111064297997,55969,random
1500,82.87%,82.87%,0.5000,26.615746943788416,59792,random
1600,82.69%,82.69%,0.5000,26.08368446819065,63714,random
1700,82.59%,82.59%,0.5000,26.175017280709145,67625,random
1800,82.44%,82.44%,0.5000,26.334753113573168,71327,random
1900,82.32%,82.32%,0.5000,26.455476135456497,75028,random
2000,82.45%,82.45%,0.5000,26.117952441410374,78497,random
2100,76.00%,82.14%,0.4982,25.96555424237676,82240,random
2200,80.50%,82.27%,0.4982,26.119367944654368,85758,random
2300,79.00%,82.00%,0.4982,26.522253186028234,89335,random
2400,80.25%,82.08%,0.4982,25.86822494670693,92958,random
2500,80.40%,82.04%,0.4982,26.06969137947737,96323,random
2600,80.33%,81.96%,0.4982,26.323972713797033,99909,random
2700,79.29%,81.63%,0.4982,26.04059483980545,103524,random
2800,80.62%,81.93%,0.4982,26.150081015577076,106616,random
2900,80.22%,81.76%,0.4982,26.491595174042416,109944,random
3000,80.50%,81.80%,0.4982,26.24872726524476,113184,random
3100,80.73%,81.84%,0.4982,26.484436974671056,116452,random
3200,80.75%,81.81%,0.4982,26.83266169998437,119586,random
3300,80.85%,81.82%,0.4982,26.447545283809582,122788,random
3400,80.86%,81.79%,0.4982,26.681464879282277,125920,random
3500,81.00%,81.83%,0.4982,26.829139082065513,129081,random
3600,80.88%,81.75%,0.4982,26.241552113470597,132430,random
3700,80.76%,81.68%,0.4982,26.310173383903447,135597,random
3800,81.00%,81.76%,0.4982,26.460678631885237,138578,random
3900,81.11%,81.79%,0.4982,26.067613440215602,141520,random
4000,80.95%,81.70%,0.4982,26.140258303684952,144687,random
4100,79.00%,81.63%,0.4964,25.18790774999889,147712,random
4200,82.50%,81.74%,0.4964,25.002384413186377,150819,random
4300,82.00%,81.72%,0.4964,25.460560540933958,153814,random
4400,81.25%,81.66%,0.4964,24.989999362485424,156852,random
4500,80.60%,81.58%,0.4964,24.670353501601102,159983,random
4600,80.00%,81.48%,0.4964,24.599307122816043,163074,random
4700,79.43%,81.36%,0.4964,25.124288956199706,166052,random
4800,80.12%,81.44%,0.4964,24.918974458602815,168959,random
4900,79.78%,81.35%,0.4964,25.188949974972022,171835,random
5000,79.70%,81.30%,0.4964,24.933131115764787,174713,random
5100,79.73%,81.27%,0.4964,25.151666218546186,177555,random
5200,79.67%,81.23%,0.4964,24.907033446660503,180485,random
5300,79.77%,81.23%,0.4964,25.123619295765707,183314,random
5400,79.43%,81.11%,0.4964,25.317797988601125,185975,random
5500,79.53%,81.11%,0.4964,24.876413988778978,188727,random
5600,79.81%,81.16%,0.4964,24.96254643322396,191541,random
5700,79.82%,81.14%,0.4964,25.041723962576516,194290,random
5800,79.78%,81.10%,0.4964,24.267097231029563,197024,random
5900,80.11%,81.19%,0.4964,24.322503730387357,199723,random
6000,80.40%,81.27%,0.4964,24.47201351539071,202538,random
6100,87.00%,81.36%,0.4946,26.423562313382156,205166,random
6200,88.50%,81.50%,0.4946,27.21467097956144,207666,random
6300,86.67%,81.52%,0.4946,26.293626531225787,210333,random
6400,85.25%,81.52%,0.4946,26.077187948854057,212848,random
6500,85.20%,81.57%,0.4946,25.955649107385316,215333,random
6600,85.33%,81.64%,0.4946,26.314961804192166,217905,random
6700,85.00%,81.66%,0.4946,26.12589340422128,220334,random
6800,85.00%,81.71%,0.4946,26.059757530568348,222811,random
6900,85.22%,81.78%,0.4946,26.374165721397723,225301,random
7000,84.90%,81.79%,0.4946,26.209611503978223,227636,random
7100,84.00%,81.69%,0.4946,26.47494626406961,230068,random
7200,83.33%,81.61%,0.4946,26.039204435176156,232553,random
7300,83.69%,81.70%,0.4946,26.272190862454977,234988,random
7400,83.29%,81.65%,0.4946,26.284672188438076,237514,random
7500,83.13%,81.64%,0.4946,25.782806349685522,239998,random
7600,82.81%,81.59%,0.4946,25.78786558054838,242541,random
7700,82.35%,81.51%,0.4946,25.940832840767424,244967,random
7800,82.39%,81.53%,0.4946,26.03227477088883,247312,random
7900,81.89%,81.42%,0.4946,25.59129523062683,249687,random
8000,81.70%,81.38%,0.4946,25.661804790323806,252108,random
8100,84.00%,81.41%,0.4928,26.349704083612846,254467,random
8200,82.50%,81.40%,0.4928,26.831453844336327,256733,random
8300,83.67%,81.46%,0.4928,26.85828886679107,259069,random
8400,82.25%,81.42%,0.4928,26.830197898507866,261427,random
8500,81.60%,81.39%,0.4928,26.049572308079586,263837,random
8600,82.83%,81.48%,0.4928,26.427566402324047,266115,random
8700,82.71%,81.48%,0.4928,25.949842972757917,268389,random
8800,82.12%,81.44%,0.4928,25.672379453724446,270630,random
8900,82.33%,81.47%,0.4928,26.012186679955583,272973,random
9000,82.00%,81.44%,0.4928,25.852847284406394,275149,random
9100,82.36%,81.49%,0.4928,26.05906767205935,277318,random
9200,82.17%,81.48%,0.4928,25.804156912026958,279490,random
9300,82.08%,81.47%,0.4928,26.10108677474921,281617,random
9400,81.93%,81.46%,0.4928,26.188245775561583,283831,random
