Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize,Opponent
1000,3.30%,3.30%,1.0000,40.42429012251055,-0.9345,1219289,hueristic
2000,2.80%,3.05%,1.0000,39.616057738759935,-0.9442,1219447,hueristic
3000,2.20%,2.77%,1.0000,39.651725146348284,-0.9558,1219616,hueristic
4000,2.60%,2.73%,1.0000,39.25351698280366,-0.9481,1219791,hueristic
5000,3.20%,2.82%,1.0000,39.0415191914393,-0.9361,1219941,hueristic
6000,2.70%,2.80%,0.9505,39.83397861632619,-0.9465,1220089,hueristic
7000,2.50%,2.76%,0.9505,39.79008032336726,-0.9499,1220258,hueristic
8000,3.60%,2.86%,0.9505,40.21119875880075,-0.9280,1220396,hueristic
9000,4.80%,3.08%,0.9505,39.56719185972051,-0.9041,1220548,hueristic
10000,4.60%,3.23%,0.9505,39.657458220520425,-0.9079,1220695,hueristic
11000,3.50%,3.25%,0.9010,41.11661374389168,-0.9304,1220828,hueristic
12000,4.40%,3.35%,0.9010,40.4691834982645,-0.9121,1220984,hueristic
13000,4.00%,3.40%,0.9010,40.56712783535474,-0.9201,1221134,hueristic
14000,4.40%,3.47%,0.9010,39.50703475546427,-0.9118,1221287,hueristic
15000,5.10%,3.58%,0.9010,39.13493321716742,-0.8979,1221439,hueristic
16000,4.30%,3.62%,0.8515,39.39147937652861,-0.9146,1221592,hueristic
17000,5.20%,3.72%,0.8515,39.12424003302354,-0.8959,1221739,hueristic
18000,4.80%,3.78%,0.8515,38.47738677521653,-0.9038,1221868,hueristic
19000,3.80%,3.78%,0.8515,37.905955308828226,-0.9242,1222011,hueristic
20000,4.80%,3.83%,0.8515,37.297442569365025,-0.9042,1222150,hueristic
21000,4.20%,3.85%,0.8020,39.80706003441419,-0.9166,1222271,hueristic
22000,4.80%,3.89%,0.8020,39.490343161885654,-0.9039,1222386,hueristic
23000,5.40%,3.96%,0.8020,38.587604671871354,-0.8921,1222509,hueristic
24000,5.00%,4.00%,0.8020,38.468460899836266,-0.8999,1222639,hueristic
25000,5.40%,4.06%,0.8020,38.231566126488076,-0.8920,1222770,hueristic
26000,6.60%,4.16%,0.7525,37.93556486339574,-0.8685,1222879,hueristic
27000,6.60%,4.25%,0.7525,38.44364529294111,-0.8681,1223003,hueristic
28000,6.60%,4.33%,0.7525,37.99525716952463,-0.8678,1223114,hueristic
29000,4.50%,4.34%,0.7525,38.11200773823039,-0.9100,1223253,hueristic
30000,6.30%,4.40%,0.7525,38.006303938863816,-0.8741,1223355,hueristic
31000,7.20%,4.49%,0.7030,38.02357140072084,-0.8564,1223451,hueristic
32000,6.60%,4.56%,0.7030,38.52639698655395,-0.8682,1223557,hueristic
33000,7.70%,4.65%,0.7030,38.191075655359406,-0.8455,1223654,hueristic
34000,7.70%,4.74%,0.7030,38.271174715310224,-0.8465,1223757,hueristic
35000,5.70%,4.77%,0.7030,37.88093936468313,-0.8859,1223861,hueristic
36000,6.00%,4.80%,0.6535,37.37166838549922,-0.8805,1223949,hueristic
37000,6.40%,4.85%,0.6535,37.84508557629818,-0.8719,1224056,hueristic
38000,6.00%,4.88%,0.6535,37.41913338037061,-0.8802,1224149,hueristic
39000,6.70%,4.92%,0.6535,37.51810523811327,-0.8661,1224244,hueristic
40000,6.60%,4.96%,0.6535,37.20529609109839,-0.8677,1224330,hueristic
41000,8.40%,5.04%,0.6040,39.385046602354436,-0.8325,1224437,hueristic
42000,8.60%,5.13%,0.6040,39.20464824627297,-0.8278,1224521,hueristic
43000,7.90%,5.19%,0.6040,38.74838425375119,-0.8422,1224613,hueristic
44000,10.50%,5.31%,0.6040,38.77791171372206,-0.7898,1224706,hueristic
45000,7.40%,5.36%,0.6040,38.41849788299284,-0.8522,1224800,hueristic
46000,11.40%,5.49%,0.5545,38.168046880578,-0.7723,1224891,hueristic
47000,10.00%,5.59%,0.5545,38.50332204552038,-0.8000,1224958,hueristic
48000,9.80%,5.67%,0.5545,38.36923739834345,-0.8040,1225018,hueristic
49000,9.80%,5.76%,0.5545,38.618504892541566,-0.8040,1225085,hueristic
50000,9.20%,5.83%,0.5545,38.26030777254396,-0.8162,1225183,hueristic
51000,11.00%,5.93%,0.5050,37.43519056107508,-0.7806,1225249,hueristic
52000,11.50%,6.04%,0.5050,37.77524422989729,-0.7698,1225305,hueristic
53000,10.60%,6.12%,0.5050,37.03211942111214,-0.7881,1225372,hueristic
54000,11.00%,6.21%,0.5050,37.10306813012653,-0.7797,1225458,hueristic
55000,11.40%,6.31%,0.5050,36.933132064172426,-0.7723,1225544,hueristic
56000,12.70%,6.42%,0.4555,37.806189574816386,-0.7463,1225611,hueristic
57000,10.30%,6.49%,0.4555,37.237242169487445,-0.7941,1225673,hueristic
58000,11.90%,6.58%,0.4555,36.85469947904641,-0.7620,1225742,hueristic
59000,11.60%,6.67%,0.4555,36.959374387469644,-0.7680,1225804,hueristic
60000,12.60%,6.77%,0.4555,36.73459271129553,-0.7481,1225873,hueristic
61000,12.40%,6.86%,0.4060,37.457143970646015,-0.7525,1225943,hueristic
62000,14.20%,6.98%,0.4060,37.98079875636297,-0.7160,1226007,hueristic
63000,14.20%,7.10%,0.4060,37.39850227981919,-0.7161,1226070,hueristic
64000,13.00%,7.19%,0.4060,37.49347638224099,-0.7401,1226129,hueristic
65000,10.90%,7.25%,0.4060,37.33321163505383,-0.7815,1226201,hueristic
66000,14.20%,7.35%,0.3565,37.65498991118717,-0.7165,1226245,hueristic
67000,14.60%,7.46%,0.3565,37.78292582625457,-0.7079,1226283,hueristic
68000,14.30%,7.56%,0.3565,37.36402527232093,-0.7139,1226350,hueristic
69000,4.20%,7.51%,0.8654,39.16035966659528,-0.9166,1226452,hueristic
70000,4.70%,7.47%,0.8654,39.2199834129448,-0.9058,1226592,hueristic
71000,3.70%,7.42%,0.8654,39.53304620384434,-0.9260,1226708,hueristic
72000,5.40%,7.39%,0.8654,38.65621447604544,-0.8919,1226841,hueristic
73000,4.30%,7.35%,0.8654,38.369810074186155,-0.9142,1226951,hueristic
74000,4.20%,7.31%,0.8654,37.313128840003515,-0.9160,1227059,hueristic
75000,3.80%,7.26%,0.8654,37.536948146733195,-0.9239,1227168,hueristic
76000,5.20%,7.23%,0.8654,36.98223451060563,-0.8961,1227277,hueristic
77000,4.30%,7.19%,0.8654,35.55524708370549,-0.9140,1227409,hueristic
78000,3.70%,7.15%,0.8654,35.83133054571491,-0.9259,1227502,hueristic
79000,4.30%,7.11%,0.8456,39.38492714743826,-0.9145,1227634,hueristic
80000,4.20%,7.08%,0.8456,39.681024019394876,-0.9161,1227761,hueristic
81000,5.20%,7.05%,0.8456,39.36489252467633,-0.8959,1227870,hueristic
82000,5.70%,7.04%,0.8456,39.53359796161483,-0.8859,1228000,hueristic
83000,4.80%,7.01%,0.8456,39.429846264075685,-0.9039,1228099,hueristic
84000,5.60%,7.00%,0.8456,39.157300433759524,-0.8883,1228223,hueristic
85000,5.90%,6.98%,0.8456,39.58807365076579,-0.8818,1228327,hueristic
86000,4.90%,6.96%,0.8456,38.930373981724344,-0.9022,1228439,hueristic
87000,5.90%,6.95%,0.8456,37.75715913135914,-0.8816,1228538,hueristic
88000,4.40%,6.92%,0.8456,38.08956613036909,-0.9123,1228665,hueristic
89000,4.90%,6.90%,0.8258,38.78491829875009,-0.9025,1228801,hueristic
90000,5.10%,6.88%,0.8258,39.60485846517208,-0.8977,1228930,hueristic
91000,5.80%,6.87%,0.8258,39.367028936282644,-0.8840,1229030,hueristic
92000,4.60%,6.84%,0.8258,39.556467203899935,-0.9083,1229126,hueristic
93000,4.70%,6.82%,0.8258,39.52411290864419,-0.9061,1229238,hueristic
94000,5.30%,6.80%,0.8258,39.19321039148444,-0.8940,1229365,hueristic
95000,5.50%,6.79%,0.8258,38.67438465620816,-0.8899,1229457,hueristic
96000,4.40%,6.76%,0.8258,39.0563552927636,-0.9121,1229573,hueristic
97000,4.70%,6.74%,0.8258,37.48056023027707,-0.9060,1229693,hueristic
98000,5.70%,6.73%,0.8258,37.73519670575997,-0.8860,1229799,hueristic
99000,7.40%,6.74%,0.8060,38.40149794905635,-0.8525,1229910,hueristic
