Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize,Opponent
1000,15.90%,15.90%,0.5000,35.43598170696388,-0.6823,28439,maxbp
2000,16.80%,16.80%,0.5000,37.52839041993793,-0.6643,54771,maxbp
3000,15.90%,15.90%,0.5000,36.848709908507,-0.6816,79111,maxbp
4000,21.00%,21.00%,0.5000,35.42496778875776,-0.5804,101990,maxbp
5000,20.60%,20.60%,0.5000,35.875433033589616,-0.5879,123231,maxbp
6000,23.60%,23.60%,0.5000,39.571657010492146,-0.5279,143045,maxbp
7000,20.70%,20.70%,0.5000,31.728373489447605,-0.5860,162021,maxbp
8000,24.90%,24.90%,0.5000,30.421704418771743,-0.5020,179673,maxbp
9000,23.00%,23.00%,0.5000,37.75598541349129,-0.5399,196478,maxbp
10000,25.10%,25.10%,0.5000,22.201467889172058,-0.4983,212476,maxbp
11000,24.80%,24.80%,0.5000,36.196218822128024,-0.5037,227628,maxbp
12000,27.10%,24.99%,0.4990,35.76000497363961,-0.4586,245139,maxbp
13000,25.75%,24.95%,0.4990,35.48337317112183,-0.5115,258995,maxbp
14000,26.10%,25.08%,0.4990,35.24587683591638,-0.4644,272334,maxbp
15000,26.05%,25.13%,0.4990,35.251655231643674,-0.4819,284980,maxbp
16000,25.92%,25.15%,0.4990,35.37839337306296,-0.4916,297028,maxbp
17000,27.20%,25.27%,0.4986,35.33504253018983,-0.4558,308661,maxbp
18000,26.65%,25.32%,0.4986,35.400199984817164,-0.4783,319756,maxbp
19000,27.33%,25.49%,0.4986,35.0119715040126,-0.4260,330907,maxbp
20000,27.57%,25.64%,0.4986,34.41370194229524,-0.4343,341448,maxbp
21000,27.40%,25.69%,0.4986,33.988566105892566,-0.4660,351435,maxbp
22000,28.10%,25.80%,0.4981,34.55606298370554,-0.4383,361221,maxbp
23000,27.40%,25.84%,0.4981,33.948410638314336,-0.4662,370647,maxbp
24000,27.67%,25.94%,0.4981,34.915393635149215,-0.4360,379799,maxbp
25000,28.05%,26.07%,0.4981,33.50453925144634,-0.4159,388795,maxbp
26000,27.92%,26.12%,0.4981,33.009302800133284,-0.4519,397427,maxbp
27000,29.20%,26.23%,0.4977,35.054219489584206,-0.4165,405564,maxbp
28000,29.45%,26.36%,0.4977,35.04896003217385,-0.4059,413542,maxbp
29000,30.53%,26.58%,0.4977,34.437297789275874,-0.3461,421333,maxbp
30000,30.60%,26.72%,0.4977,33.59074709104311,-0.3841,429191,maxbp
31000,32.80%,26.92%,0.4973,34.251324519251476,-0.3443,443535,maxbp
32000,31.55%,27.02%,0.4973,33.79371924309086,-0.3941,450621,maxbp
33000,31.67%,27.17%,0.4973,33.912905244903975,-0.3623,457616,maxbp
34000,31.05%,27.23%,0.4973,33.15405199784769,-0.4152,464422,maxbp
35000,31.24%,27.37%,0.4973,32.61445273628015,-0.3606,470888,maxbp
36000,31.58%,27.53%,0.4973,31.661357554400155,-0.3339,477119,maxbp
37000,31.67%,27.66%,0.4973,32.16049549065046,-0.3560,483537,maxbp
38000,31.64%,27.76%,0.4973,30.78738049540177,-0.3719,489746,maxbp
39000,31.62%,27.85%,0.4973,29.38658250358253,-0.3701,495973,maxbp
40000,31.73%,27.97%,0.4973,29.793642882573334,-0.3460,501961,maxbp
41000,34.40%,28.13%,0.4820,34.85683013005467,-0.3125,507551,maxbp
42000,33.00%,28.21%,0.4820,34.77512023306231,-0.3679,513154,maxbp
43000,32.53%,28.29%,0.4820,34.71964399155734,-0.3679,518593,maxbp
44000,33.32%,28.46%,0.4820,35.13111915721645,-0.2860,523698,maxbp
45000,32.92%,28.52%,0.4820,34.37926020086177,-0.3738,528959,maxbp
46000,33.28%,28.66%,0.4820,34.81368393524849,-0.2984,534112,maxbp
47000,33.60%,28.81%,0.4820,34.356464623334205,-0.2898,539190,maxbp
48000,33.64%,28.91%,0.4820,33.53435866824478,-0.3222,544280,maxbp
49000,33.54%,28.99%,0.4820,33.84675784289106,-0.3438,549338,maxbp
50000,33.44%,29.06%,0.4820,32.0657517202717,-0.3500,554063,maxbp
51000,32.20%,29.12%,0.4775,34.846034559443794,-0.3563,558814,maxbp
52000,35.05%,29.29%,0.4775,34.71519307987142,-0.2422,563220,maxbp
53000,34.90%,29.39%,0.4775,35.29640770296932,-0.3081,567687,maxbp
54000,35.17%,29.51%,0.4775,34.720937375176995,-0.2793,572084,maxbp
55000,35.74%,29.67%,0.4775,34.59637718050774,-0.2404,576346,maxbp
56000,35.48%,29.75%,0.4775,34.00501531947059,-0.3153,580695,maxbp
57000,35.20%,29.81%,0.4775,34.36109547277817,-0.3309,584926,maxbp
58000,35.29%,29.92%,0.4775,33.524894187952924,-0.2820,589036,maxbp
59000,35.42%,30.03%,0.4775,33.772532493158394,-0.2699,592990,maxbp
60000,35.43%,30.12%,0.4775,31.91877636731516,-0.2897,597025,maxbp
