Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize,Opponent
1000,81.80%,81.80%,1.0000,23.64601719940973,0.6360,1189008,random
2000,81.00%,81.50%,1.0000,23.117835122162056,0.6202,1189878,random
3000,78.60%,80.60%,1.0000,22.64875391797114,0.5719,1190655,random
4000,79.30%,80.30%,1.0000,22.879277963339707,0.5857,1191449,random
5000,81.20%,80.50%,1.0000,22.63476247834248,0.6241,1192268,random
6000,83.00%,80.92%,0.9525,24.57457054714837,0.6597,1193035,random
7000,82.80%,81.23%,0.9525,23.815993549547386,0.6563,1193700,random
8000,82.60%,81.41%,0.9525,23.743444287855326,0.6522,1194372,random
9000,83.40%,81.64%,0.9525,23.69868785966078,0.6681,1195133,random
10000,82.30%,81.72%,0.9525,23.120626917954443,0.6454,1195824,random
11000,83.50%,81.88%,0.9050,24.15116798335406,0.6700,1196438,random
12000,86.40%,82.28%,0.9050,24.188080168366362,0.7282,1197089,random
13000,84.60%,82.48%,0.9050,24.186899676105874,0.6915,1197708,random
14000,85.70%,82.71%,0.9050,24.297194486271295,0.7146,1198307,random
15000,82.60%,82.71%,0.9050,23.877277049831367,0.6514,1198927,random
16000,87.20%,82.99%,0.8575,25.794924866441296,0.7440,1199510,random
17000,85.60%,83.15%,0.8575,25.170024801629317,0.7116,1200075,random
18000,85.80%,83.31%,0.8575,25.03817527618128,0.7168,1200570,random
19000,85.10%,83.41%,0.8575,24.857624701809392,0.7016,1201136,random
20000,83.70%,83.43%,0.8575,23.773791131307537,0.6741,1201677,random
21000,87.00%,83.60%,0.8100,25.934511189250323,0.7399,1202175,random
22000,88.00%,83.81%,0.8100,25.227545865078778,0.7597,1202681,random
23000,86.70%,83.94%,0.8100,25.69913444248289,0.7347,1203141,random
24000,86.10%,84.04%,0.8100,25.010510033240102,0.7218,1203610,random
25000,88.00%,84.20%,0.8100,24.07202512009816,0.7601,1204115,random
26000,87.80%,84.34%,0.7625,25.864874214031367,0.7561,1204550,random
27000,88.60%,84.50%,0.7625,25.544930515075002,0.7717,1204983,random
28000,88.30%,84.64%,0.7625,25.96920198688755,0.7663,1205387,random
29000,86.60%,84.72%,0.7625,25.245566780483227,0.7319,1205860,random
30000,87.50%,84.81%,0.7625,24.56574492422545,0.7501,1206293,random
31000,87.20%,84.89%,0.7150,26.68918797674195,0.7443,1206704,random
32000,89.90%,85.05%,0.7150,26.91615574144019,0.7978,1207095,random
33000,90.10%,85.21%,0.7150,26.71931982969853,0.8023,1207436,random
34000,88.10%,85.30%,0.7150,26.149413477625405,0.7615,1207774,random
35000,90.20%,85.44%,0.7150,25.473564518575287,0.8038,1208188,random
36000,89.70%,85.56%,0.6675,27.454359323029543,0.7941,1208503,random
37000,90.70%,85.70%,0.6675,27.362289783927686,0.8135,1208861,random
38000,87.00%,85.74%,0.6675,27.03531343691375,0.7401,1209183,random
39000,91.30%,85.88%,0.6675,26.207380230358204,0.8263,1209496,random
40000,89.80%,85.98%,0.6675,26.011155593096003,0.7959,1209836,random
41000,91.50%,86.11%,0.6200,28.00056272111723,0.8304,1210121,random
42000,90.80%,86.23%,0.6200,28.095158290089557,0.8158,1210449,random
43000,88.70%,86.29%,0.6200,27.843054039238442,0.7740,1210740,random
44000,89.80%,86.37%,0.6200,27.859721173662983,0.7960,1211005,random
45000,91.10%,86.48%,0.6200,26.544264748521606,0.8218,1211340,random
46000,91.20%,86.58%,0.5725,28.010468531153816,0.8239,1211591,random
47000,90.90%,86.68%,0.5725,28.25720034537713,0.8184,1211821,random
48000,91.40%,86.78%,0.5725,28.066746754966314,0.8282,1212058,random
49000,90.40%,86.86%,0.5725,28.059920855852123,0.8077,1212324,random
50000,90.20%,86.92%,0.5725,27.783081543239405,0.8041,1212530,random
51000,92.80%,87.04%,0.5250,29.32283636030758,0.8560,1212734,random
