Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize,Opponent
1000,20.70%,20.70%,0.5000,44.12343947263582,-0.5863,156936,hueristic
2000,20.50%,20.60%,0.5000,44.74813716439456,-0.5901,223321,hueristic
3000,22.30%,21.17%,0.5000,44.614678167961785,-0.5536,284722,hueristic
4000,19.80%,20.82%,0.5000,44.8150835312939,-0.6044,340840,hueristic
5000,22.30%,21.12%,0.5000,44.66649416894772,-0.5539,393009,hueristic
6000,19.80%,20.90%,0.5000,44.22704590642533,-0.6043,442946,hueristic
7000,20.40%,20.84%,0.5000,43.69808285558559,-0.5917,489073,hueristic
8000,19.00%,20.61%,0.5000,44.14101421468643,-0.6202,532707,hueristic
9000,19.30%,20.47%,0.5000,43.354510544481265,-0.6139,575101,hueristic
10000,22.10%,20.63%,0.5000,43.42540852965693,-0.5582,615307,hueristic
11000,21.40%,20.70%,0.4982,42.97508230402288,-0.5721,653387,hueristic
12000,20.30%,20.67%,0.4982,43.88557346983959,-0.5943,689876,hueristic
13000,21.10%,20.71%,0.4982,44.06289501008789,-0.5779,724660,hueristic
14000,20.10%,20.66%,0.4982,44.17587864196361,-0.5983,758948,hueristic
15000,22.60%,20.79%,0.4982,43.853409226421455,-0.5477,791350,hueristic
16000,21.90%,20.86%,0.4982,43.51921463630838,-0.5621,823305,hueristic
17000,19.30%,20.77%,0.4982,42.986979786679036,-0.6142,854164,hueristic
18000,19.40%,20.69%,0.4982,42.99405988984929,-0.6117,884613,hueristic
19000,20.20%,20.67%,0.4982,41.651196361056634,-0.5962,913953,hueristic
20000,23.80%,20.82%,0.4982,41.96473114988407,-0.5240,942094,hueristic
21000,21.30%,20.84%,0.4964,43.63358348558814,-0.5744,969948,hueristic
22000,21.40%,20.87%,0.4964,43.91855616598983,-0.5720,997264,hueristic
23000,21.00%,20.87%,0.4964,43.75861224407014,-0.5803,1024540,hueristic
24000,20.90%,20.88%,0.4964,43.50794474224512,-0.5815,1050108,hueristic
25000,21.00%,20.88%,0.4964,42.47097967500617,-0.5803,1075027,hueristic
26000,17.80%,20.77%,0.4964,42.01504054475594,-0.6438,1099450,hueristic
27000,20.20%,20.75%,0.4964,41.60110978127943,-0.5961,1123223,hueristic
28000,22.30%,20.80%,0.4964,41.93009093966556,-0.5537,1147620,hueristic
29000,23.70%,20.90%,0.4964,40.806133160278115,-0.5257,1170768,hueristic
30000,19.40%,20.85%,0.4964,41.023234391306275,-0.6126,1194384,hueristic
31000,21.20%,20.86%,0.4946,43.81148917003436,-0.5761,1216648,hueristic
32000,21.80%,20.89%,0.4946,44.012273287571965,-0.5641,1238744,hueristic
33000,21.40%,20.91%,0.4946,43.49718529622521,-0.5720,1260177,hueristic
34000,23.20%,20.98%,0.4946,43.46274227378747,-0.5364,1281699,hueristic
35000,19.70%,20.94%,0.4946,43.429821908513986,-0.6058,1302795,hueristic
36000,17.80%,20.85%,0.4946,42.97765931493477,-0.6439,1323089,hueristic
37000,21.10%,20.86%,0.4946,42.25915915711296,-0.5781,1343421,hueristic
38000,20.30%,20.84%,0.4946,42.64841270654623,-0.5941,1363195,hueristic
39000,20.50%,20.84%,0.4946,41.24891048418331,-0.5899,1382904,hueristic
40000,20.10%,20.82%,0.4946,41.50213924310752,-0.5980,1402164,hueristic
41000,22.30%,20.86%,0.4928,43.489131237336096,-0.5544,1420741,hueristic
42000,20.70%,20.85%,0.4928,43.94360030821781,-0.5859,1439445,hueristic
43000,20.90%,20.86%,0.4928,43.740647646710975,-0.5818,1457991,hueristic
44000,20.10%,20.84%,0.4928,44.00658812923863,-0.5983,1475732,hueristic
45000,20.70%,20.84%,0.4928,43.960719380688545,-0.5859,1493479,hueristic
46000,21.30%,20.85%,0.4928,43.624312723754066,-0.5743,1511171,hueristic
47000,21.10%,20.85%,0.4928,42.843083145201675,-0.5776,1528149,hueristic
48000,21.30%,20.86%,0.4928,43.19304049078639,-0.5736,1545788,hueristic
49000,19.40%,20.83%,0.4928,41.920613170630595,-0.6125,1562331,hueristic
50000,23.20%,20.88%,0.4928,42.22129866665794,-0.5361,1578447,hueristic
51000,21.70%,20.90%,0.4910,43.885489899106474,-0.5662,1594262,hueristic
52000,21.20%,20.90%,0.4910,43.957712287222144,-0.5762,1610429,hueristic
53000,18.60%,20.86%,0.4910,43.79565625984032,-0.6280,1626317,hueristic
54000,22.70%,20.89%,0.4910,43.99170534318204,-0.5462,1642673,hueristic
55000,21.00%,20.89%,0.4910,43.99047568880316,-0.5800,1658181,hueristic
56000,21.00%,20.90%,0.4910,43.45749569983035,-0.5798,1674261,hueristic
57000,21.50%,20.91%,0.4910,42.726134418635674,-0.5701,1689433,hueristic
58000,20.10%,20.89%,0.4910,42.955306826840726,-0.5976,1704399,hueristic
59000,22.40%,20.92%,0.4910,41.720604649350435,-0.5525,1719370,hueristic
60000,20.30%,20.91%,0.4910,41.96224557429016,-0.5938,1734135,hueristic
61000,20.90%,20.91%,0.4892,42.896059172880335,-0.5824,1748853,hueristic
62000,22.20%,20.93%,0.4892,43.43665521524754,-0.5562,1763212,hueristic
63000,20.70%,20.93%,0.4892,43.40155594234784,-0.5860,1777643,hueristic
64000,19.60%,20.91%,0.4892,43.35855739271369,-0.6080,1791918,hueristic
65000,23.50%,20.95%,0.4892,43.47132440135261,-0.5296,1805444,hueristic
66000,19.90%,20.93%,0.4892,42.73830933144236,-0.6024,1819951,hueristic
67000,21.60%,20.94%,0.4892,41.83897177378851,-0.5676,1833946,hueristic
68000,22.40%,20.96%,0.4892,41.84380521912308,-0.5522,1847824,hueristic
69000,20.60%,20.96%,0.4892,39.52728305841795,-0.5882,1861494,hueristic
70000,20.50%,20.95%,0.4892,39.71783277022219,-0.5899,1874845,hueristic
71000,21.70%,20.96%,0.4874,42.56377779182035,-0.5663,1888086,hueristic
72000,19.50%,20.94%,0.4874,42.55817889684756,-0.6101,1901177,hueristic
73000,21.40%,20.95%,0.4874,42.2383498453271,-0.5718,1914345,hueristic
74000,21.60%,20.96%,0.4874,42.49318836780193,-0.5682,1926820,hueristic
75000,21.80%,20.97%,0.4874,42.47710902442927,-0.5638,1939480,hueristic
76000,20.80%,20.96%,0.4874,42.06497057533393,-0.5841,1951520,hueristic
77000,22.70%,20.99%,0.4874,41.387718338063735,-0.5460,1964130,hueristic
78000,21.60%,21.00%,0.4874,41.726317263501926,-0.5677,1976856,hueristic
79000,18.60%,20.97%,0.4874,40.5938142835999,-0.6278,1988451,hueristic
80000,21.40%,20.97%,0.4874,40.83270162028197,-0.5724,2000629,hueristic
81000,23.10%,21.00%,0.4856,43.12988516076189,-0.5386,2012181,hueristic
82000,21.30%,21.00%,0.4856,43.35787936083437,-0.5737,2024050,hueristic
83000,19.80%,20.99%,0.4856,43.227176029708815,-0.6040,2036355,hueristic
84000,20.00%,20.97%,0.4856,43.358058643354276,-0.5998,2048226,hueristic
85000,22.00%,20.99%,0.4856,43.12862937383581,-0.5603,2059937,hueristic
86000,23.00%,21.01%,0.4856,42.67714073611565,-0.5399,2071652,hueristic
87000,22.00%,21.02%,0.4856,41.964252929856045,-0.5598,2082899,hueristic
88000,21.10%,21.02%,0.4856,42.21244605707203,-0.5780,2093724,hueristic
89000,20.20%,21.01%,0.4856,40.404437839820325,-0.5961,2105012,hueristic
90000,21.00%,21.01%,0.4856,40.6724598883435,-0.5799,2116172,hueristic
91000,20.70%,21.01%,0.4838,42.870735712249584,-0.5862,2127155,hueristic
92000,20.70%,21.00%,0.4838,42.450537878357274,-0.5860,2138311,hueristic
93000,19.60%,20.99%,0.4838,42.46331740867364,-0.6082,2149565,hueristic
94000,21.00%,20.99%,0.4838,42.83384793244301,-0.5798,2159873,hueristic
95000,21.90%,21.00%,0.4838,42.430414065899804,-0.5623,2170977,hueristic
96000,24.10%,21.03%,0.4838,41.59641265638367,-0.5176,2181225,hueristic
97000,21.10%,21.03%,0.4838,41.01461695903768,-0.5783,2191771,hueristic
98000,20.30%,21.02%,0.4838,41.265223727990644,-0.5942,2202174,hueristic
99000,20.30%,21.02%,0.4838,39.9656149532509,-0.5940,2212262,hueristic
100000,20.70%,21.01%,0.4838,40.2625906706812,-0.5856,2222775,hueristic
101000,20.80%,21.01%,0.4820,42.88736619439278,-0.5843,2233409,hueristic
102000,17.40%,20.97%,0.4820,43.51779584913895,-0.6519,2243350,hueristic
103000,22.30%,20.99%,0.4820,43.11140594894419,-0.5543,2253601,hueristic
104000,20.00%,20.98%,0.4820,43.07760448517925,-0.6002,2263555,hueristic
105000,22.40%,20.99%,0.4820,42.64405712628761,-0.5515,2273687,hueristic
106000,22.00%,21.00%,0.4820,41.29520054965041,-0.5604,2283420,hueristic
107000,20.40%,20.99%,0.4820,39.85416582695803,-0.5920,2293144,hueristic
108000,23.00%,21.01%,0.4820,40.200538560714,-0.5400,2302961,hueristic
109000,21.80%,21.02%,0.4820,37.88798655050478,-0.5639,2312783,hueristic
110000,21.00%,21.02%,0.4820,38.11191110095497,-0.5801,2322617,hueristic
111000,19.20%,21.00%,0.4802,41.31652652096768,-0.6164,2332558,hueristic
112000,21.90%,21.01%,0.4802,41.58143433307343,-0.5621,2341937,hueristic
113000,22.50%,21.02%,0.4802,41.85908462926191,-0.5500,2351270,hueristic
114000,22.00%,21.03%,0.4802,41.94085498630735,-0.5597,2360877,hueristic
115000,23.10%,21.05%,0.4802,41.693587847617934,-0.5380,2369765,hueristic
116000,21.00%,21.05%,0.4802,41.10299386364236,-0.5800,2379163,hueristic
117000,19.20%,21.04%,0.4802,40.52800958248032,-0.6159,2388419,hueristic
118000,21.60%,21.04%,0.4802,40.95511903170632,-0.5681,2397012,hueristic
119000,22.00%,21.05%,0.4802,38.87924242844555,-0.5600,2406146,hueristic
120000,20.30%,21.04%,0.4802,39.08917589450034,-0.5944,2415015,hueristic
121000,23.20%,21.06%,0.4784,39.85009204523545,-0.5366,2424156,hueristic
122000,21.70%,21.06%,0.4784,40.657799194546335,-0.5658,2432966,hueristic
123000,21.80%,21.07%,0.4784,40.78539721003696,-0.5640,2441997,hueristic
124000,21.40%,21.07%,0.4784,41.17075546939095,-0.5722,2450850,hueristic
