Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize,Opponent
1000,52.80%,52.80%,0.5000,42.773639926920914,0.0559,88790,maxbp
2000,51.70%,52.25%,0.5000,42.41038312531667,0.0336,168524,maxbp
3000,55.90%,53.47%,0.5000,42.13399604526335,0.1181,240115,maxbp
4000,53.80%,53.57%,0.5000,41.64656528576317,0.0762,307053,maxbp
5000,51.60%,53.20%,0.5000,41.49185425745608,0.0320,367641,maxbp
6000,53.60%,53.28%,0.5000,40.914660642560996,0.0723,424041,maxbp
7000,53.40%,53.30%,0.5000,41.2403951612153,0.0679,477848,maxbp
8000,53.80%,53.36%,0.5000,40.404267171764964,0.0760,528141,maxbp
9000,53.20%,53.34%,0.5000,40.488159659595645,0.0637,576207,maxbp
10000,52.30%,53.24%,0.5000,38.42933752952016,0.0464,622808,maxbp
11000,50.60%,53.00%,0.4982,41.755452793217415,0.0118,666430,maxbp
12000,51.30%,52.86%,0.4982,42.205856076819636,0.0258,708831,maxbp
13000,50.70%,52.70%,0.4982,42.17182651660801,0.0139,749175,maxbp
14000,50.90%,52.59%,0.4982,41.60575328763614,0.0183,788265,maxbp
15000,54.00%,52.69%,0.4982,41.3575735859421,0.0799,826562,maxbp
16000,80.40%,54.42%,0.0500,40.57501796891248,0.6083,6809127,maxbp
17000,78.60%,55.84%,0.0500,41.17627779595512,0.5714,6811095,maxbp
18000,81.00%,57.24%,0.0500,41.21457756210299,0.6202,6812891,maxbp
19000,84.30%,58.67%,0.0500,41.466493271712466,0.6862,6814774,maxbp
20000,80.50%,59.77%,0.0500,41.479026655471294,0.6100,6816675,maxbp
21000,81.30%,60.80%,0.0500,40.89365842559926,0.6257,6818431,maxbp
22000,80.10%,61.68%,0.0497,40.579393818369965,0.6017,6820501,maxbp
23000,81.60%,62.54%,0.0497,41.41533164235948,0.6322,6822360,maxbp
24000,82.70%,63.39%,0.0497,41.42305173693374,0.6543,6824301,maxbp
25000,83.00%,64.18%,0.0497,41.81895114899248,0.6593,6826026,maxbp
26000,80.00%,64.79%,0.0497,41.74888414236734,0.6005,6828158,maxbp
27000,80.90%,65.39%,0.0497,41.498915904559865,0.6175,6830062,maxbp
28000,81.80%,65.98%,0.0497,41.010643739578136,0.6363,6831867,maxbp
29000,83.50%,66.58%,0.0497,41.3504868005151,0.6700,6833687,maxbp
30000,83.10%,67.14%,0.0497,40.34689702840658,0.6624,6835375,maxbp
31000,81.30%,67.59%,0.0497,40.606358313391794,0.6255,6837238,maxbp
32000,81.80%,68.03%,0.0495,40.13723259179222,0.6358,6838943,maxbp
33000,81.40%,68.44%,0.0495,40.69738482316568,0.6279,6840778,maxbp
34000,83.60%,68.89%,0.0495,40.90820318367205,0.6718,6842704,maxbp
35000,81.00%,69.24%,0.0495,41.25862318591844,0.6207,6844313,maxbp
36000,83.30%,69.63%,0.0495,41.22432894792126,0.6655,6845840,maxbp
37000,82.00%,69.96%,0.0495,40.94095918882908,0.6400,6847522,maxbp
38000,80.40%,70.24%,0.0495,40.420367956542215,0.6080,6849297,maxbp
39000,81.10%,70.52%,0.0495,40.75713870544391,0.6218,6851145,maxbp
40000,82.10%,70.81%,0.0495,39.546909826656155,0.6427,6852967,maxbp
41000,80.00%,71.03%,0.1400,36.37842448466246,0.6001,7355160,maxbp
42000,78.10%,71.20%,0.1400,36.440292702942386,0.5615,7357043,maxbp
43000,76.80%,71.34%,0.1400,35.646901102249096,0.5366,7359070,maxbp
44000,77.60%,71.48%,0.1400,36.13312796059354,0.5515,7361038,maxbp
45000,75.80%,71.58%,0.1400,35.164341229974966,0.5164,7363210,maxbp
46000,77.00%,71.70%,0.1400,36.280350263844085,0.5396,7365221,maxbp
47000,77.00%,71.81%,0.1400,35.16194658514017,0.5405,7367246,maxbp
48000,77.10%,71.92%,0.1400,33.557054148211144,0.5416,7368956,maxbp
49000,80.70%,72.10%,0.1400,34.13549313048034,0.6142,7370846,maxbp
50000,76.70%,72.20%,0.1400,32.7630215053056,0.5339,7372882,maxbp
51000,81.20%,72.38%,0.0500,39.7022651946164,0.6237,7374783,maxbp
52000,81.20%,72.55%,0.0500,39.689535826433676,0.6248,7376442,maxbp
53000,79.60%,72.68%,0.0500,39.22270032883366,0.5918,7378035,maxbp
54000,79.70%,72.81%,0.0500,38.894576535377254,0.5937,7379709,maxbp
55000,79.90%,72.94%,0.0500,38.8315711283875,0.5981,7381295,maxbp
56000,81.00%,73.09%,0.0500,38.12634584889257,0.6199,7382993,maxbp
57000,80.70%,73.22%,0.0500,36.54500289119999,0.6141,7384659,maxbp
58000,80.20%,73.34%,0.0500,36.91973227379269,0.6040,7386459,maxbp
59000,81.10%,73.48%,0.0500,35.15117411543932,0.6216,7388076,maxbp
60000,81.60%,73.61%,0.0500,33.51267756304894,0.6322,7389564,maxbp
61000,82.50%,73.76%,0.0500,36.727490946024936,0.6502,7391215,maxbp
62000,81.30%,73.88%,0.0500,37.39984468597538,0.6259,7393006,maxbp
63000,80.40%,73.98%,0.0500,36.717629437238585,0.6077,7394431,maxbp
64000,80.40%,74.08%,0.0500,36.61647146394118,0.6082,7395975,maxbp
65000,81.60%,74.20%,0.0500,36.13118018432241,0.6316,7397443,maxbp
66000,82.00%,74.32%,0.0500,35.29729129194474,0.6407,7398904,maxbp
67000,83.40%,74.46%,0.0500,34.29424989907711,0.6678,7400509,maxbp
68000,80.20%,74.54%,0.0500,34.864291919436155,0.6040,7402013,maxbp
69000,82.20%,74.65%,0.0500,33.27381991642876,0.6437,7403620,maxbp
70000,82.90%,74.77%,0.0500,31.793941074231746,0.6586,7405141,maxbp
71000,82.50%,74.88%,0.0500,38.52762817687746,0.6499,7406604,maxbp
72000,81.40%,74.97%,0.0500,38.66379230103073,0.6282,7408042,maxbp
73000,81.90%,75.07%,0.0500,38.54092490131105,0.6378,7409530,maxbp
74000,81.10%,75.15%,0.0500,38.64542634929597,0.6221,7411110,maxbp
75000,82.10%,75.24%,0.0500,38.37625963160806,0.6420,7412457,maxbp
76000,82.40%,75.34%,0.0500,37.87840888817015,0.6478,7413882,maxbp
77000,82.20%,75.43%,0.0500,37.18430320674095,0.6438,7415010,maxbp
78000,81.80%,75.51%,0.0500,37.48106128551927,0.6359,7416467,maxbp
79000,80.40%,75.57%,0.0500,35.88329459564745,0.6083,7417944,maxbp
80000,81.60%,75.65%,0.0500,34.17548167565065,0.6322,7419428,maxbp
81000,81.40%,75.72%,0.0500,38.01833262681828,0.6280,7420697,maxbp
82000,82.70%,75.81%,0.0500,38.789553454130235,0.6541,7422001,maxbp
83000,81.00%,75.87%,0.0500,38.71031632222535,0.6201,7423384,maxbp
84000,80.40%,75.92%,0.0500,38.88658233514733,0.6073,7424613,maxbp
85000,80.70%,75.98%,0.0500,38.73306862163235,0.6145,7425939,maxbp
86000,81.00%,76.04%,0.0500,38.20779269520681,0.6200,7427213,maxbp
87000,84.40%,76.14%,0.0500,37.497668331455834,0.6880,7428469,maxbp
88000,82.10%,76.21%,0.0500,37.76313225953643,0.6422,7429776,maxbp
89000,81.80%,76.27%,0.0500,36.33394266769831,0.6363,7431092,maxbp
90000,81.70%,76.33%,0.0500,34.6297083812936,0.6332,7432376,maxbp
91000,82.30%,76.40%,0.0500,37.63352866685979,0.6462,7433692,maxbp
92000,82.00%,76.46%,0.0500,37.980081678784835,0.6399,7434992,maxbp
93000,82.90%,76.53%,0.0500,38.12454920124587,0.6581,7436323,maxbp
94000,83.60%,76.60%,0.0500,38.38222019903019,0.6716,7437706,maxbp
95000,81.60%,76.66%,0.0500,38.17640910895771,0.6320,7439117,maxbp
96000,81.30%,76.71%,0.0500,37.7599705730047,0.6265,7440291,maxbp
97000,82.30%,76.76%,0.0500,37.25882586766312,0.6458,7441716,maxbp
98000,83.20%,76.83%,0.0500,37.619050094620604,0.6640,7443119,maxbp
99000,79.80%,76.86%,0.0500,36.45939700445069,0.5960,7444471,maxbp
100000,81.60%,76.91%,0.0500,34.927216369653806,0.6322,7445744,maxbp
101000,82.90%,76.97%,0.0500,38.022797901420596,0.6582,7446888,maxbp
102000,81.70%,77.02%,0.0500,38.60668467070687,0.6337,7448172,maxbp
103000,81.80%,77.06%,0.0500,38.817554659273625,0.6357,7449344,maxbp
104000,83.00%,77.12%,0.0500,38.92877773295714,0.6603,7450655,maxbp
105000,80.80%,77.16%,0.0500,38.843703392323526,0.6158,7451851,maxbp
106000,83.00%,77.21%,0.0500,38.574686659871716,0.6604,7453223,maxbp
107000,83.50%,77.27%,0.0500,37.90732707556501,0.6700,7454421,maxbp
108000,82.50%,77.32%,0.0500,38.14285635103256,0.6499,7455693,maxbp
109000,81.80%,77.36%,0.0500,37.095117178982306,0.6359,7456838,maxbp
110000,81.80%,77.40%,0.0500,35.500981097196764,0.6362,7458040,maxbp
111000,81.90%,77.44%,0.0500,38.14393705458825,0.6380,7459301,maxbp
112000,82.30%,77.48%,0.0500,38.75768286032998,0.6464,7460607,maxbp
113000,82.20%,77.53%,0.0500,38.807623347221785,0.6433,7461801,maxbp
114000,81.20%,77.56%,0.0500,38.922104823629724,0.6242,7463003,maxbp
115000,82.00%,77.60%,0.0500,38.799349479939075,0.6401,7464271,maxbp
116000,83.10%,77.65%,0.0500,38.55032580017179,0.6625,7465477,maxbp
117000,81.40%,77.68%,0.0500,37.8636969235981,0.6278,7466654,maxbp
118000,80.90%,77.71%,0.0500,38.184472060222525,0.6179,7467846,maxbp
119000,81.50%,77.74%,0.0500,37.45597612031019,0.6301,7469198,maxbp
120000,81.70%,77.77%,0.0500,35.81304386899354,0.6339,7470417,maxbp
121000,79.00%,77.78%,0.0500,37.826442709953284,0.5801,7471524,maxbp
122000,81.70%,77.81%,0.0500,38.42994241144438,0.6343,7472763,maxbp
123000,81.80%,77.85%,0.0500,38.140341537189336,0.6357,7474061,maxbp
124000,83.20%,77.89%,0.0500,38.11491782160798,0.6636,7475311,maxbp
125000,81.70%,77.92%,0.0500,37.47432299237481,0.6340,7476662,maxbp
126000,83.00%,77.96%,0.0500,36.82414958139139,0.6606,7477720,maxbp
127000,82.10%,78.00%,0.0500,35.921251529413105,0.6419,7478874,maxbp
128000,81.20%,78.02%,0.0500,35.01913125802938,0.6239,7480133,maxbp
129000,80.80%,78.04%,0.0500,35.3913531127719,0.6155,7481274,maxbp
130000,80.90%,78.07%,0.0500,33.86908069095714,0.6179,7482481,maxbp
131000,82.80%,78.11%,0.0500,38.109208295513476,0.6557,7483645,maxbp
132000,82.20%,78.14%,0.0500,38.46423602541706,0.6442,7484784,maxbp
133000,82.10%,78.17%,0.0500,38.339832624847396,0.6416,7485984,maxbp
134000,81.40%,78.19%,0.0500,38.59753798960411,0.6287,7487016,maxbp
135000,81.80%,78.22%,0.0500,38.28603699804347,0.6360,7488143,maxbp
136000,83.00%,78.26%,0.0500,37.68190916891203,0.6596,7489291,maxbp
137000,83.80%,78.30%,0.0500,37.08742274229931,0.6761,7490511,maxbp
138000,81.80%,78.32%,0.0500,35.93878374313029,0.6360,7491770,maxbp
139000,81.10%,78.34%,0.0500,36.3177367640281,0.6220,7492811,maxbp
140000,81.10%,78.36%,0.0500,34.33419940872412,0.6218,7494051,maxbp
141000,80.50%,78.38%,0.0500,38.13448249761847,0.6105,7495238,maxbp
142000,81.80%,78.40%,0.0500,38.46875056491723,0.6357,7496327,maxbp
143000,81.00%,78.42%,0.0500,38.29848062506552,0.6193,7497469,maxbp
