Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize,Opponent
1000,5.70%,5.70%,1.0000,30.88896285304367,-0.8866,83997,hueristic
2000,4.70%,5.20%,1.0000,31.011034699416797,-0.9057,166687,hueristic
3000,3.80%,4.73%,1.0000,30.856199384615724,-0.9243,247005,hueristic
4000,5.20%,4.85%,1.0000,30.831582874390417,-0.8958,325537,hueristic
5000,4.70%,4.82%,1.0000,30.531347563705975,-0.9061,401060,hueristic
6000,4.10%,4.70%,1.0000,30.09520632365864,-0.9180,474923,hueristic
7000,4.80%,4.71%,1.0000,28.974070215951045,-0.9040,547095,hueristic
8000,3.90%,4.61%,1.0000,29.21702386440583,-0.9221,618468,hueristic
9000,4.20%,4.57%,1.0000,27.703407782749903,-0.9160,687618,hueristic
10000,4.10%,4.52%,1.0000,27.893648993737123,-0.9180,753840,hueristic
11000,4.90%,4.55%,0.9962,30.141793565151815,-0.9025,820219,hueristic
12000,5.20%,4.61%,0.9962,30.32281367131701,-0.8958,884854,hueristic
13000,4.00%,4.56%,0.9962,30.297306200545872,-0.9202,948403,hueristic
14000,5.00%,4.59%,0.9962,30.206239668883814,-0.8998,1011299,hueristic
15000,6.10%,4.69%,0.9962,30.15909571861273,-0.8783,1073307,hueristic
16000,4.60%,4.69%,0.9962,30.018203318000367,-0.9080,1133147,hueristic
17000,4.30%,4.66%,0.9962,30.28153668776123,-0.9140,1191059,hueristic
18000,4.80%,4.67%,0.9962,29.40101538570095,-0.9042,1249422,hueristic
19000,5.30%,4.71%,0.9962,27.885056412984994,-0.8937,1306635,hueristic
20000,5.20%,4.73%,0.9962,28.09912855288272,-0.8961,1363041,hueristic
21000,5.40%,4.76%,0.9924,31.01863799563067,-0.8923,1418361,hueristic
22000,5.40%,4.79%,0.9924,30.852779145674393,-0.8922,1473454,hueristic
23000,4.90%,4.80%,0.9924,31.376598058868435,-0.9020,1526019,hueristic
24000,4.30%,4.78%,0.9924,31.1374343092251,-0.9141,1578834,hueristic
25000,4.80%,4.78%,0.9924,30.788339274129672,-0.9039,1631365,hueristic
26000,5.50%,4.80%,0.9924,30.411130643498392,-0.8898,1682449,hueristic
27000,5.60%,4.83%,0.9924,30.560039849452075,-0.8884,1733406,hueristic
28000,5.10%,4.84%,0.9924,30.011205213680437,-0.8978,1783335,hueristic
29000,5.30%,4.86%,0.9924,28.50200186341531,-0.8941,1833420,hueristic
30000,4.80%,4.86%,0.9924,28.615565471627495,-0.9041,1882507,hueristic
31000,4.90%,4.86%,0.9886,30.594302977566926,-0.9023,1931389,hueristic
32000,4.40%,4.85%,0.9886,30.529193472474084,-0.9120,1978795,hueristic
33000,4.60%,4.84%,0.9886,30.694467014441987,-0.9082,2025563,hueristic
34000,3.90%,4.81%,0.9886,30.037704810371842,-0.9221,2072080,hueristic
35000,4.70%,4.81%,0.9886,29.826177006360954,-0.9060,2117361,hueristic
36000,6.20%,4.85%,0.9886,29.336855776397122,-0.8756,2162848,hueristic
37000,5.00%,4.85%,0.9886,29.64460252685169,-0.9003,2207251,hueristic
38000,4.90%,4.85%,0.9886,28.79422047829202,-0.9017,2252041,hueristic
39000,3.30%,4.81%,0.9886,27.46275162476552,-0.9341,2295737,hueristic
40000,4.90%,4.81%,0.9886,27.680583887105183,-0.9020,2339112,hueristic
41000,4.40%,4.80%,0.9848,30.648557658389002,-0.9127,2382861,hueristic
42000,4.60%,4.80%,0.9848,30.616892866755826,-0.9076,2424745,hueristic
43000,5.00%,4.80%,0.9848,31.087827132861594,-0.9000,2467171,hueristic
44000,4.40%,4.79%,0.9848,30.643753519490787,-0.9123,2508863,hueristic
45000,4.30%,4.78%,0.9848,30.41429854902231,-0.9141,2549318,hueristic
46000,5.50%,4.80%,0.9848,29.995926385014492,-0.8899,2589757,hueristic
47000,5.00%,4.80%,0.9848,30.164757274965435,-0.9001,2630528,hueristic
48000,4.00%,4.78%,0.9848,29.32854121243915,-0.9196,2671958,hueristic
49000,4.70%,4.78%,0.9848,27.926385627352865,-0.9063,2711842,hueristic
50000,4.00%,4.77%,0.9848,28.067986722125077,-0.9201,2752746,hueristic
51000,4.60%,4.77%,0.9810,29.089334973481176,-0.9084,2792154,hueristic
52000,5.20%,4.78%,0.9810,29.05092234374068,-0.8963,2831694,hueristic
53000,3.60%,4.75%,0.9810,29.16061551080881,-0.9278,2870246,hueristic
54000,6.10%,4.78%,0.9810,29.469827192015412,-0.8782,2907564,hueristic
55000,4.80%,4.78%,0.9810,29.23570677849349,-0.9040,2944953,hueristic
56000,5.00%,4.78%,0.9810,28.885354600865195,-0.8998,2983031,hueristic
57000,4.80%,4.78%,0.9810,29.16691240130273,-0.9042,3021235,hueristic
58000,4.70%,4.78%,0.9810,28.39709426466725,-0.9058,3058195,hueristic
59000,5.20%,4.79%,0.9810,26.95865269194153,-0.8959,3095097,hueristic
60000,6.00%,4.81%,0.9810,26.943205196619417,-0.8802,3131956,hueristic
61000,4.40%,4.80%,0.9772,27.885925603881333,-0.9126,3168377,hueristic
62000,6.10%,4.82%,0.9772,27.66363453259886,-0.8777,3204015,hueristic
63000,5.60%,4.84%,0.9772,28.271614287841775,-0.8881,3239599,hueristic
64000,4.90%,4.84%,0.9772,28.095623557506457,-0.9020,3275355,hueristic
65000,6.00%,4.86%,0.9772,28.25970817779616,-0.8800,3311594,hueristic
66000,4.80%,4.86%,0.9753,30.738594072734365,-0.9045,3346913,hueristic
67000,5.10%,4.86%,0.9753,30.499807584814178,-0.8977,3382558,hueristic
68000,4.00%,4.85%,0.9753,30.796133289465445,-0.9203,3416987,hueristic
69000,4.00%,4.84%,0.9753,30.29945471995865,-0.9201,3451094,hueristic
70000,4.60%,4.84%,0.9753,29.864885443042613,-0.9079,3484684,hueristic
71000,4.90%,4.84%,0.9753,29.475172575554822,-0.9020,3518038,hueristic
72000,4.40%,4.83%,0.9753,29.684979127440677,-0.9120,3552371,hueristic
73000,5.70%,4.84%,0.9753,28.6068192958855,-0.8861,3586181,hueristic
74000,5.50%,4.85%,0.9753,27.267578738508615,-0.8897,3619801,hueristic
