Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize,Opponent
1000,20.80%,20.80%,1.0000,21.481852116065667,-0.5842,24573215,maxbp
2000,20.20%,20.50%,1.0000,21.185932762167837,-0.5961,24579989,maxbp
3000,20.00%,20.33%,1.0000,21.148432168932874,-0.5998,24586146,maxbp
4000,19.80%,20.20%,1.0000,20.48206358290749,-0.6043,24592654,maxbp
5000,20.00%,20.16%,1.0000,19.767647346148628,-0.5999,24598833,maxbp
6000,26.00%,21.15%,0.9010,21.352123740893806,-0.4803,24604478,maxbp
7000,26.20%,21.87%,0.9010,21.486918660310366,-0.4763,24610340,maxbp
8000,24.20%,22.18%,0.9010,21.329356282644902,-0.5160,24616111,maxbp
9000,25.50%,22.54%,0.9010,20.641399390366203,-0.4899,24622335,maxbp
10000,24.40%,22.73%,0.9010,20.160794921538336,-0.5119,24627935,maxbp
11000,35.10%,23.85%,0.8020,21.480739070900203,-0.2981,24633598,maxbp
12000,32.40%,24.57%,0.8020,21.739599282184958,-0.3525,24638669,maxbp
13000,34.10%,25.32%,0.8020,21.719744004194084,-0.3180,24643757,maxbp
14000,35.10%,26.01%,0.8020,21.74262214886609,-0.2979,24648505,maxbp
15000,33.00%,26.48%,0.8020,21.572384913110376,-0.3398,24653501,maxbp
16000,37.60%,27.18%,0.7030,22.0591603575151,-0.2482,24658265,maxbp
17000,41.10%,28.01%,0.7030,22.49080689882041,-0.1776,24662879,maxbp
18000,38.10%,28.57%,0.7030,22.40930101453437,-0.2384,24667551,maxbp
19000,39.00%,29.12%,0.7030,22.30660164437385,-0.2201,24671920,maxbp
20000,41.10%,29.73%,0.7030,22.081667206980747,-0.1779,24676088,maxbp
21000,47.60%,30.58%,0.6040,22.647303973672845,-0.0482,24679955,maxbp
22000,47.10%,31.34%,0.6040,22.774218441903574,-0.0584,24683932,maxbp
23000,48.10%,32.07%,0.6040,22.68480849875537,-0.0378,24687957,maxbp
24000,42.30%,32.50%,0.6040,22.674276356955392,-0.1535,24692135,maxbp
25000,47.80%,33.12%,0.6040,22.485755668269586,-0.0436,24696209,maxbp
26000,53.50%,33.90%,0.5050,22.456958781558527,0.0695,24699812,maxbp
27000,54.60%,34.67%,0.5050,22.856632726727447,0.0923,24703566,maxbp
28000,56.80%,35.47%,0.5050,22.775388505223567,0.1362,24707012,maxbp
29000,56.40%,36.19%,0.5050,22.833686137618972,0.1281,24710386,maxbp
30000,53.10%,36.76%,0.5050,22.655312680070754,0.0615,24713854,maxbp
31000,62.30%,37.58%,0.4060,23.961544976196354,0.2457,24717022,maxbp
32000,60.40%,38.30%,0.4060,24.002215277090155,0.2080,24720121,maxbp
33000,63.10%,39.05%,0.4060,24.028080958925692,0.2624,24723233,maxbp
34000,60.20%,39.67%,0.4060,23.37146208425559,0.2036,24726303,maxbp
35000,61.70%,40.31%,0.4060,23.172920215460405,0.2341,24729268,maxbp
36000,66.50%,41.04%,0.3070,23.92265905186544,0.3296,24732168,maxbp
37000,68.30%,41.78%,0.3070,24.092620992627445,0.3664,24734717,maxbp
38000,69.30%,42.51%,0.3070,24.232970703832134,0.3861,24737243,maxbp
39000,67.60%,43.15%,0.3070,24.285383456708114,0.3518,24739675,maxbp
40000,67.60%,43.77%,0.3070,23.55544290747178,0.3514,24742249,maxbp
41000,73.40%,44.49%,0.2080,24.486356500997978,0.4676,24744556,maxbp
42000,72.50%,45.17%,0.2080,24.554155505856084,0.4501,24746823,maxbp
43000,71.10%,45.77%,0.2080,24.65702027175138,0.4221,24749072,maxbp
44000,70.90%,46.35%,0.2080,24.655999194487986,0.4183,24751603,maxbp
45000,75.40%,46.99%,0.2080,24.67576976632523,0.5080,24753780,maxbp
46000,77.20%,47.65%,0.1090,25.10146069200166,0.5442,24755793,maxbp
47000,76.80%,48.27%,0.1090,25.043398320530756,0.5357,24757927,maxbp
48000,75.60%,48.85%,0.1090,24.918098925429717,0.5124,24759984,maxbp
49000,77.90%,49.44%,0.1090,24.963875533495717,0.5575,24761927,maxbp
50000,79.60%,50.04%,0.1090,24.70709747093283,0.5923,24763820,maxbp
51000,83.90%,50.71%,0.0100,24.505292037886313,0.6782,24765748,maxbp
52000,80.30%,51.28%,0.0100,23.300365039815212,0.6058,24767577,maxbp
53000,80.70%,51.84%,0.0100,23.52213186189203,0.6142,24769297,maxbp
54000,81.70%,52.39%,0.0100,23.764663615793605,0.6340,24771046,maxbp
55000,81.30%,52.92%,0.0100,23.02070413403339,0.6261,24772797,maxbp
56000,82.20%,53.45%,0.0100,25.146214428771728,0.6443,24774582,maxbp
57000,81.60%,53.95%,0.0100,25.06083481526746,0.6315,24776330,maxbp
58000,82.60%,54.44%,0.0100,24.459052575209082,0.6521,24777822,maxbp
59000,84.80%,54.96%,0.0100,24.388241053009782,0.6959,24779590,maxbp
60000,81.80%,55.41%,0.0100,23.280008036337918,0.6363,24781394,maxbp
